City,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
New York,41,27,27,45,42,53,36,50,42,20,36,43,47,39,29,31,40,45,12,50
Battle Creek,36,14,16,26,30,33,34,41,30,19,22,42,37,24,13,22,26,30,8,33
Houghton,25,19,19,17,22,16,29,32,21,10,10,21,28,13,-2,16,22,23,5,13
Chicago,43,25,22,33,32,34,34,40,24,22,14,36,38,21,19,21,25,30,-1,31
Dallas,60,29,39,53,65,68,71,41,40,47,37,40,53,44,49,35,44,53,21,40
San Francisco,51,49,55,48,53,50,54,47,49,47,53,48,53,47,50,50,45,51,53,51
Columbus,37,29,17,36,37,50,38,46,34,24,26,53,43,32,30,25,31,39,6,47
